"Idiom","Pinyin","Letter","Explanation","Synonym"
"阿鼻地狱","ā bí dì yù","a bi di yu","阿鼻梵语的译音，意译为无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。",""
"阿狗阿猫","ā gǒu ā māo","a gou a mao","旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。",""
"哀哀父母","āi āi fù mǔ","ai ai fu mu","可哀呀可哀，我的父母啊！原指古时在暴政下人民终年在外服劳役，对父母病痛、老死不能照料而悲哀。",""
"哀哀欲绝","āi āi yù jué","ai ai yu jue","哀哀极度悲哀；绝断气，死。形容极其悲痛。",""
"爱别离苦","ài bié lí kǔ","ai bie li ku","佛家语，指亲爱的人离别的痛苦。",""
"哀兵必胜","āi bīng bì shèng","ai bing bi sheng","原意是力量相当的两军对阵，悲愤的一方获得胜利◇指因受欺侮而奋起抵抗的军队，必定能取胜。",""
"爱不忍释","ài bù rěn shì","ai bu ren shi","对所喜欢的物品，爱得拿在手里久久不肯放下。",""
"爱不释手","ài bù shì shǒu","ai bu shi shou","释：放下。喜爱得舍不得放手。",""
"爱才如渴","ài cái rú kě","ai cai ru ke","才：贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。",""
"爱才如命","ài cái rú mìng","ai cai ru ming","才贤才，人才。爱慕贤才，急欲求得，就象生命一样重要。",""
"爱财如命","ài cái rú mìng","ai cai ru ming","把钱财看得跟生命一样重要。形容极端吝啬。",""
"挨冻受饿","ái dòng shòu è","ai dong shou e","指无衣无食的穷困境况。",""
"哀而不伤","āi ér bù shāng","ai er bu shang","哀悲哀；伤伤害。忧愁而不悲伤，形容感情有节制；另形容诗歌、音乐优美雅致，感情适度。比喻做事没有过头也无不及。",""
"挨风缉缝","āi fēng jī fèng","ai feng ji feng","比喻为了达到某种目的而找门路。",""
"捱风缉缝","āi fēng qī fèng","ai feng qi feng","指多方钻营，找门路。",""
"哀告宾服","āi gào bīn fú","ai gao bin fu","宾服古指诸侯或边远部落按时朝贡，表示依服、服从◇泛指归顺、服从。指哀求饶恕，愿意服从。",""
"哀感天地","āi gǎn tiān dì","ai gan tian di","形容极其哀痛，使天地都为之感动。",""
"哀感顽艳","āi gǎn wán yàn","ai gan wan yan","顽愚顽。原意是指内容凄切，文辞华丽，使愚笨和聪慧的人同样受感动◇多用来指艳情的小说、戏曲、电影中的感人情节。",""
"哀感中年","āi gǎn zhōng nián","ai gan zhong nian","形容人到中年对亲友离别的伤感情绪。",""
"爱国如家","ài guó rú jiā","ai guo ru jia","指帝王像爱抚自己的家室一样爱国爱民。",""
"爱鹤失众","ài hè shī zhòng","ai he shi zhong","比喻因小失大。",""
"哀鸿遍地","āi hóng biàn dì","ai hong bian di","哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。",""
"哀鸿遍野","āi hóng biàn yě","ai hong bian ye","哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。",""
"哀毁骨立","āi huǐ gǔ lì","ai hui gu li","哀悲哀；毁损坏身体；骨立形容极瘦，只剩下骨架。旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。",""
"哀毁瘠立","āi huǐ jī lì","ai hui ji li","旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。",""
"挨家挨户","āi ji āi hù","ai ji ai hu","每家每户，户户不漏。挨，依次，顺次。",""
"挨肩并足","āi jiān bìng zú","ai jian bing zu","形容人群拥挤。",""
"挨肩擦背","āi jiān cā bèi","ai jian ca bei","肩挨肩，背擦背。形容人多拥挤。",""
"挨肩擦膀","āi jiān cā bǎng","ai jian ca bang","指身体相贴近。也形容人群拥挤。",""
"挨肩擦脸","āi jiān cā liǎn","ai jian ca lian","挨靠近。擦，接触。形容狎昵之状。",""
"挨肩搭背","āi jiān dā bèi","ai jian da bei","挨肩肩和肩相靠。搭背手搭在别人背上。形容极其亲昵的样子。",""
"挨肩叠背","āi jiān dié bèi","ai jian die bei","形容人群拥挤。",""
"挨肩迭背","āi jiān dié bèi","ai jian die bei","形容人群拥挤。",""
