"Idiom","Pinyin","Explanation"
"安乐窝","ān lè wō","泛指安静舒适的住处。"
"抱不平","bào bù píng","遇见不公平的事，挺身而出，帮助弱小的一方。"
"杯中物","bēi zhōng wù","杯子中的东西，指酒。"
"闭门羹","bì mén gēng","拒绝客人进门叫做让客人吃闭门羹。"
"百世师","bǎi shì shī","品德学问可以做为百代的表率。"
"不成器","bù chéng qì","器：指人的度量、才干。不能成为有用的器物。多用以指人气质平庸，不能有所成就，没有什么出息。有时也指不学好，自甘堕落。"
"不旋踵","bù xuán zhǒng","来不及转身。比喻时间极短。也指不退却。"
"沧横流","cāng hǎi héng liú","沧海指大海；横流水往四处奔流。水四处奔流。比喻政治混乱，社会动荡。"
"杵臼交","chǔ jiù jiāo","指不计贫贱的交谊。"
"初生犊","chū shēng dú","刚出生的小牛，比喻单纯或勇猛的青年人。同初生之犊”。"
"抽段楔","chōu dīng bá xiē","比喻解决疑难。丁，钉”的古字。"
"垂泽昆","chuí yù hòu kūn","裕富足◇昆子孙，后代，后嗣。为后世子孙留下功业或财产。"
"打边鼓","dǎ biān gǔ","指从旁鼓吹、协助。"
"掉书袋","diào shū dài","掉：摆动，摇动。指说话或写文章好引用古书言词来卖弄自己的学识渊博。"
"地负涵","dì fù hǎi hán","指大地负载万物，海洋容纳百川。形容包罗万象，含蕴丰富。"
"东窗计","dōng chuāng jì","指谋害忠良的阴谋诡计。"
"东道主","dōng dào zhǔ","泛指接待或宴客的主人。"
"打死虎","dǎ sǐ hǔ","比喻抨击已失威势的人。"
"耳报神","ě bào shén","指暗中通风报信的人。"
"二把刀","èr bǎ dāo","称对某项工作知识不足、技术不高的人。"
"耳边风","ěr biān fēng","在耳边吹过的风。比喻听了不放在心上的话。"
"耳旁风","ěr páng fēng","同耳边风”。在耳边吹过的风。比喻听了不放在心上的话。"
"恶作剧","è zuò jù","捉弄人的使人难堪的行动。"
"放冷箭","fàng lěng jiàn","乘人不备，放箭伤人。比喻暗中伤人。冷箭暗箭。"
"风马牛","fēng mǎ niú","风放逸，走失。指齐楚两地相离甚远，马牛不会走失至对方地界◇用以比喻事物之间毫不相干。同风马牛不相及”。"
"风雨亿","fēng yǔ yáo bǎi","在风雨中飘荡不安，比喻局势动荡不安。"
"缸载笔","fú bái zǎi bǐ","浮罚人饮酒；白指专用来罚酒的大杯；缸指喝酒和干杯；载笔拿着笔。一面喝酒，一面写作。旧时比喻文人的雅量和才气。"
"附骥尾","fù jì wěi","附着在千里马的尾巴上。比喻仰仗别人而成名。常作谦词。"
"赶浪头","gǎn làng tóu","指跟在大众后面做一些适应当前形势的事。"
"刮地皮","guā dì pí","比喻贪官污吏千方百计地搜刮人民的财产。"
"观倡人","guān chǎng ǎi rén","指见识浅鄙者。"
"光前泽","guāng qián yù hòu","光前光大前业；泽遗惠后代。为祖先增光，为后代造福。形容人功业伟大。"
"故纸堆","gù zhǐ duī","指大量的古旧书籍、资料‖贬义。比喻人埋首研读古书，不知人情世故。"
"虎而冠","hǔ ér guàn","冠把帽子戴在头上。比喻生性残虐的人。"
"涵地负","hǎi hán dì fù","如海之能包容，地之能负载。比喻才能特异。"
"涸石烂","hǎi hé shí làn","犹海枯石烂。形容历时久远。比喻坚定的意志永远不变。"
"呼鹏马","hū niú hū mǎ","呼称呼。称我牛也好，称我马也好。比喻别人骂也好，称赞也好，决不计较。"
"好拿样","hǎo mó hǎo yàng","①模样端正。②犹言规规矩矩。"
"积德泽","jī dé yù hòu","指积累德行，则后世昌盛。"
"见械大","jiàn xiǎo àn dà","指小事清楚，大事糊涂。"
"假慈悲","jiǎ cí bēi","慈悲慈善，怜悯。表面上装出一付慈爱怜悯的样子。"
"九回肠","jiǔì huí cháng","形容回环往复的忧思。回肠形容内心焦虑不安。"
"急先锋","jí xiān fēng","比喻冲锋在前或积极领头的人。"
"假惺惺","jiǎ xīng xīng","假心假意的样子。"
"九折臂","jiǔ zhé bì","九泛指多次；折断。多次折断胳膊，经过反复治疗而熟知医理。比喻阅历多，经验丰富。"
"鸡口朋","jī kǒu niú hòu","宁愿做小而洁的鸡嘴，而不愿做大而臭的牛肛门。比喻宁在局面小的地方自主，不愿在局面大的地方听人支配。"
"紧箍咒","jǐn gū zhòu","小说《西游记》中唐僧用来制服孙悟空的咒语，能使孙悟空头上的金箍紧缩，头痛欲裂。后用来比喻束缚人的东西。"
"卷地皮","juàn dì pí","把地皮都卷走了。比喻官吏的残酷搜刮。"
"空城计","kōng chéng jì","指在危急处境下，掩饰空虚，骗过对方的策略。"
"口头禅","kǒu tóu chán","原指和尚常说的禅语或佛号。现指经常挂在口头上而无实际意义的词句。"
"里程碑","lǐ chéng bēi","路旁标志里数的碑。比喻在历史进程中可作为标志的重大事件。"
"乐晶生","lè jìn āi shēng","犹言乐极生悲。欢乐到了极点，将转而发生悲伤的事。"
"辽东豕","liáo dōng shǐ","比喻知识浅薄，少见多怪。"
"老江湖","lǎo jiāng hú","指在外多年，很有阅历，非常世故的人。"
"露马脚","lòu mǎ jiǎo","比喻暴露了隐蔽的事实真相。"
"乱弹琴","luàn tán qín","比喻胡扯或胡闹。"
"捋虎须","luō hǔ xū","捋抚摩。比喻触犯有权势的人或冒着很大的风险。"
"闷葫芦","mèn hú lú","比喻很难猜透而令人纳闷的话或事情。"
"门外汉","mén wài hàn","指外行人。"
"马后炮","mǎ hòu pào","象棋术语。比喻不及时的举动。"
"迷魂汤","mí hún tāng","比喻迷惑人的语言或行为。"
"迷魂阵","mí hún zhèn","比喻使人迷惑而上当的圈套、计谋。"
"满天飞","mǎn tiān fēi","形容到处都是。亦作满空飞”。"
"莫须有","mò xū yǒu","原意是也许有吧。后指凭空捏造。"
"马前卒","mǎ qián zú","旧时在马前吆喝开路的兵卒差役。现在比喻为人奔走效力的人。"
"鸟兽散","niǎo shòu sàn","形容成群的人象鸟兽逃散一样纷乱地散去（多形容敌人溃逃）。"
"碰钉子","pèng dìng zǐ","指遭到拒绝。"
"泼冷水","pō lěng shuǐ","比喻挫伤别人的热情或兴致。"
"跑龙套","pǎo lóng tào","原指戏曲中拿着旗子做兵卒的角色，后比喻在人手下做无关紧要的事。"
"破天荒","pò tiān huāng","指从来没有出现过的事。"
"七菜倒","qī bìng bā dǎo","形容体弱多病。"
"七菜痛","qī bìng bā tòng","泛指各种各样的病痛。"
"七返丹","qī fǎn dān","传说中的一种丹药，有增功保健的功效。"
"墙有耳","qiáng yǒu ěr","比喻秘密易于外泄。同隔墙有耳”。"
